title,address,url,area,price,distance(km),area_std,price_std,distance_std,max area,20
東光忠孝大潤發附近屋況新套房,東區-東光路,https://rent.591.com.tw/14123651,5,7000,4.1,0.0625,0.1429,0.2869,min area,4
市區超便宜景觀精緻套房,東區-林森路,https://rent.591.com.tw/14339034,10,9000,4.3,0.375,0.2381,0.3033,max price,25000
❤房仲精靈❤工研院清大馬偕陽台大套房,東區-光復路二段1號,https://rent.591.com.tw/14884521,8.4,16000,4.1,0.275,0.5714,0.2869,min price,4000
D老爺推薦x採光明亮精美套房x市政府旁,北區-大同路135號,https://rent.591.com.tw/16363588,7,8000,4.6,0.1875,0.1905,0.3279,max distance,12.8
✅1樓/廚房✅65吋電視✅變頻冷暖,東區-長春街108巷,https://rent.591.com.tw/16635577,12,16000,3.2,0.5,0.5714,0.2131,min distance,0.6
金山街電梯套房*近園區*工研院,東區-金山二十五街,https://rent.591.com.tw/16706220,7.5,11500,4.1,0.21875,0.3571,0.2869,,
可養貓新竹車站旁可以租屋補助含水網路管理費,北區-林森路,https://rent.591.com.tw/17005724,7,12000,4.3,0.1875,0.3810,0.3033,,
有機車位富春居樓中樓有陽台含管網路水,東區-埔頂一路,https://rent.591.com.tw/17212222,12,21500,3.5,0.5,0.8333,0.2377,,
24小時門禁管理近新竹科學園區.康橋可報稅.可租補,東區-富群街2號,https://rent.591.com.tw/17256457,9,12900,6.6,0.3125,0.4238,0.4918,,
可寵無印風房近新竹科學園區、康橋，可報稅！,東區-富群街2號,https://rent.591.com.tw/17295317,9,11500,6.6,0.3125,0.3571,0.4918,,
金山街套房*流理臺*陽台*洗衣機*,東區-金山二十五街,https://rent.591.com.tw/17662303,10,13500,4.1,0.375,0.4524,0.2869,,
金山街套房*流理臺*陽台*洗衣機*,東區-金山二十三街,https://rent.591.com.tw/17662303,7.5,12000,4.1,0.21875,0.3810,0.2869,,
"可寵近新竹科學園區,雙面落地採光，花園景觀大露台可報稅.租補",東區-富群街2號,https://rent.591.com.tw/18020082,10,15500,6.6,0.375,0.5476,0.4918,,
近竹科溫馨套房,東區-高峰路16號,https://rent.591.com.tw/18182385,6,7000,2.7,0.125,0.1429,0.1721,,
寓見愛有陽台套房,北區-經國路二段,https://rent.591.com.tw/18311448,7,12500,5.2,0.1875,0.4048,0.3770,,
"兆基-近園區飯店式優質套房,可申請租補",東區-光復路二段,https://rent.591.com.tw/18362840,9.3,14800,4.6,0.33125,0.5143,0.3279,,
兆基-飯店式優質套房,東區-光復路二段,https://rent.591.com.tw/18362947,10.4,14800,4.6,0.4,0.5143,0.3279,,
兆基/可寵可租補獨洗曬大套房,北區-境福街,https://rent.591.com.tw/18362950,7.8,12000,6.2,0.2375,0.3810,0.4590,,
有巢六家-可租補西大近園區套房<內裝可談>,北區-西大路,https://rent.591.com.tw/18511609,5,7000,3,0.0625,0.1429,0.1967,,
東區稀有釋出採光佳近園區清交大工研院,東區-公園路186巷,https://rent.591.com.tw/18532843,7,8800,4.6,0.1875,0.2286,0.3279,,
東區稀有釋出採光佳近園區清交大,東區-公園路186巷,https://rent.591.com.tw/18532843,7,8800,4.6,0.1875,0.2286,0.3279,,
全新套房出租,香山區-中山路600巷19號,https://rent.591.com.tw/18535674,8,9000,5,0.25,0.2381,0.3607,,
全新套房出租,東區-明湖路1008巷21弄,https://rent.591.com.tw/18535674,8,14500,4.4,0.25,0.5000,0.3115,,
§近園區舒適素雅獨立套房家電全附車位§,東區-明湖路,https://rent.591.com.tw/18553796,10,16000,4.3,0.375,0.5714,0.3033,,
兆基社會住宅🏡振興路便宜大套房,東區-八德路,https://rent.591.com.tw/18586028,8.7,9000,4.4,0.29375,0.2381,0.3115,,
經國三廠~好想租的採光大獨套~,北區-經國路二段620巷,https://rent.591.com.tw/18587502,10,8800,5.3,0.375,0.2286,0.3852,,
金山會館套房房東自租省服務費,東區-金山十三街,https://rent.591.com.tw/18631541,8,12000,3.5,0.25,0.3810,0.2377,,
房東自租仲介勿擾金山會館套房,東區-金山十三街,https://rent.591.com.tw/18631818,8,12500,3.5,0.25,0.4048,0.2377,,
兆基社會住宅🏡明湖路進園區樓中樓大套房,東區-明湖路1050巷,https://rent.591.com.tw/18638473,7.7,9000,4.3,0.23125,0.2381,0.3033,,
"近科學園區,生活機能超便利,獨立套房全新冷暖氣機,冬天也舒服",東區-新莊街228巷12弄,https://rent.591.com.tw/18652058,8,9000,3.5,0.25,0.2381,0.2377,,
想找一個安靜又便利的棲身空間嗎,香山區-大庄路160號,https://rent.591.com.tw/18690486,6,6500,8.3,0.125,0.1190,0.6311,,
兆基社會住宅🏡可租補免仲!至善街溫馨套房,香山區-至善街37巷,https://rent.591.com.tw/18698423,6.2,5300,8.6,0.1375,0.0619,0.6557,,
（已下訂）近竹科溫馨套房｜房間、衛浴皆採光｜旁運動中心,東區-光復路一段89巷,https://rent.591.com.tw/18701180,8,14800,4.1,0.25,0.5143,0.2869,,
芝柏三街，五街套房出租，6月中才有空房喔，屋主自租自管,香山區-芝柏五街,https://rent.591.com.tw/18702632,5,5000,7.1,0.0625,0.0476,0.5328,,
竹科金山街全新完工陽台洗衣機,東區-金山北三街,https://rent.591.com.tw/18702841,10,10000,3.7,0.375,0.2857,0.2541,,
金山街前段陽台洗衣機內停機車,東區-金山七街6巷,https://rent.591.com.tw/18702851,10,11000,3.3,0.375,0.3333,0.2213,,
金山街陽台洗衣機室內機車可貓僅有一間,東區-金山二十五街,https://rent.591.com.tw/18702872,10,10500,4.1,0.375,0.3095,0.2869,,
大學路近竹科園區高質感陽台洗衣機可養貓,東區-大學路51巷,https://rent.591.com.tw/18702875,10,16000,1.7,0.375,0.5714,0.0902,,
金山街後段美套房小資首選,東區-金山二十八街,https://rent.591.com.tw/18702879,7,8500,4.3,0.1875,0.2143,0.3033,,
